id,text_final,target_category,prioridade
25,problemas de conexao wi fi cliente relatar que esta experimentar instabilidade na rede wi fi em casa ter baixas frequencias e o servico ja foi atualizar,Acesso,Baixa
26,ruer de audio durante o transito durante viagens percebo que her um ruido intermitente no meu computador portatil quando esta conectado ao bluetooth do carro isso causar desconforto e dificuldade em ouvir o audio de aplicativos sem fio,Rede,Baixa
27,erro no envio do email consigo enviar mensagens sem problemas mas quando querer adicionar um anexo de pdf para o colega jose silva no e mail da integracao comercial receber a mensagem ocorrer erro ao tentar carregar este arquivo acontecer tambem que nao consigo enviar outros tipos de arquivos,Comunicação,Media
28,suspeita de violacao de senha funcionario informar que encontrar uma mensagem do sistema indicar tentativas multiplas para alterar a senha mas nao reconhecer o usuario associar,Acesso,Baixa
29,problemas de conexao wi fi o usuario relatar que o seu telefone nao conseguir se conectar automaticamente ao acesso sem fio do escritorio ja tentar reiniciar as configuracoes e adicionar novamente mas falha persistente,Acesso,Baixa
30,mapeamento infraestrutural precisar atualizar o mapa da rede interna devido a adicao de novos servicos e redes vlan,Infraestrutura,Baixa
31,falha no monitor somente parte da tela mostrar o conteudo restante e preenchir por cor azul escura tentativas de conectar a outra tv mostrar somente uma pequena area do video,Hardware,Media
32,problemas de conexao diretor da empresa relatar que as redes corporativas estao desconectar intermitentemente causar atrasos no trabalho dos departamentos afetar,Acesso,Media
33,roteador sem conexao wi fi o roteador perder o sinal constante e nao conseguir reconectar apos redefinir acontecer aproximadamente duas vezes por dia afetar varias dispositivos,Rede,Alta
34,problemas de conexao wi fi uma das unidades da equipe informar que seu computador nao conseguir se conectar a rede sem fio e ja tentar reinicia la mas o problema persistir acreditar ser um bug na configuracao do roteador,Acesso,Baixa
35,problema na criacao do pdf ocorrer erro ao usar o adobe acrobatr reader o documento nao responde quando mar para a impressora,Comunicação,Baixa
36,mensagem do linkedin falha a mensagem que estou tentar enviar pelo linkedin nao esta chegar estou receber um erro indicar problema com a conexao isso acontecer desde o ultimo software de atualizacao,Comunicação,Alta
37,problemas intermitentes de conexao a rede wi fi apresentar instabilidade onde o sinal desaparecer e volta algumas vez pulls depois,Rede,Baixa
38,dificuldade na conexao wi fi tenho tentar se conectar a internet usar o roteador de casa mas nao conseguir resolver os simbolos da rede sao visiveis no dispositivo movel e na televisao com smart tv,Comunicação,Media
39,recuperacao de senha falhar o usuario informar que tentar fazer o processo automatico de recuperacao da senha mas nao receber as instrucoes necessarias para completar a operacao,Acesso,Media
40,problemas de login do sistema o administrador relatar que nao conseguir fazer logout e esta receber alertas incomuns suspeita de possivel seguranca comprometir,Acesso,Alta
41,problemas de navegacao na interface do site o usuario relatar dificuldades ao navegar pelas paginas da empresa afirmar que as rotulagens e links nao estao funcionar como esperar causar confusao no acesso aos seus documentos,Acesso,Baixa
42,reducao de velocidade na rede a internet no computador esta desacelerar gradualmente a velocidade ja estava boa mas agora os downloads e uploads sao muito lentos,Rede,Media
43,roteador nao responder o roteador parecer estar desligado ou sem sinal pois o computador do escritorio ter dificuldade de se conectar a internet,Rede,Media
44,rede de internet esta lenta o consumidor reportar que o seu servico de internet e significativamente mais lento do que esperar os sinais e conexoes parecer normais mas os tempos de acesso a web estao abaixo dos padroes,Rede,Media
45,solucao de senha incomum funcionario relatar que nao conseguir usar senhas padrao devido as politicas corporativas atualizar necessitar suporte para alternar metodos de autenticacao,Acesso,Baixa
46,problemas de conexao no aplicativo do cliente um usuario relatar que o aplicativo movel desenvolver pela empresa nao esta responder ao seu clique e ocasionalmente mostrar erros 404 na tela,Acesso,Baixa
47,mudanca do led indicador o monitor de trabalho apresentar mudanca no esquema de cores da luz verde amarela que antes era fixo ajustar a luminosidade nao resolver o problema,Hardware,Baixa
48,falha no servico de navegacao o sistema gps da estacao maritima falhar e precisar ser restaurar imediatamente para garantir a navegacao segura dos navios,Infraestrutura,Alta
49,roteador de rede falha intermitente o roteador wi fi esta apresentar problemas perder conexao regularmente durante o dia e precisar ser revisar,Rede,Media
50,router desligar aleatoriamente o roteador da casa esta reiniciando por conta propria causar interrupcoes no acesso a internet,Rede,Media
51,lampar led ficar vermelha a lampada no meu escritorio acender mas permanecer em tom de vermelho estou preocupado com a eficiencia energetica neste caso,Hardware,Baixa
52,problemas na impressora a impressora esta deixar de imprimir alguns documentos mas outros estao sendo impressos normalmente acontecer depois do ultimo software atualizar,Hardware,Media
53,wi fi instavel a conexao wi fi e intermitente afetar principalmente na ultima hora da tarde ocorrer de forma semana a fina,Rede,Baixa
54,ponto de internet lento ha uma perda gradual da velocidade do internet ao longo das ultimas semanas especialmente durante o horario pico,Rede,Baixa
55,intrusao na rede um funcionario notar uma conexao nao solicitar entre seu computador e um dispositivo externo durante o horario de trabalho o uso desta conexao foi inesperar pois normalmente esta desconectado,Acesso,Baixa
56,problemas de conexao wifi o cliente esta experimentar dificuldades intermitentes na ligacao a internet ver roteador sem fio apesar da configuracao parecer correta,Acesso,Baixa
57,computador atrasa inicializacao o computador demora mais de cinco minutos antes de iniciar o sistema operacional o monitor mostrar uma luz verde mas nao apresentar nenhum sinal,Hardware,Media
58,dificuldade de conectar via wi fi acontecer que nao consigo fazer o meu dispositivo se conectar a rede wi fi em casa acessar a lista de redes mas ela ficar fixa e estaria anonima no momento da selecao,Rede,Baixa
59,computador sem energia a maquina nao responder quando o botao power e pressionar o problema poder estar na tomada mas precisar descobrir se ha algum outro problema de hardware,Hardware,Media
60,problema no envio do e mail acontecer que ao tentar mandar um email de trabalho importante ver gmail para mim mesmo o sistema falha em enviar lo a mensagem esta disponivel na caixa de entrada mas nao ha acesso a pasta externa necessaria do destinatario,Comunicação,Alta
61,problemas de login o usuario relatar que nao conseguir fazer o logon e ja tentar resetar as credenciais sem sucesso,Acesso,Baixa
62,bomba termica nao responder a bomba termica esta funcionando mas o computador continuar ficar quente tentar reiniciar varias vezes sem sucesso,Hardware,Media
63,pagina de login oculta funcionario relatar que nao conseguir encontrar o link da pagina inicial do sistema e busca ajuda para redirecionamento,Acesso,Baixa
64,ruer no cabo coaxial falha de comunicacao intermitente por um intervalo regular que afetar a operacao da rede corporativa,Infraestrutura,Media
65,falha no servico de redes a rede interna da empresa esta instavel resultar na perda intermitente do acesso a internet e aos sistemas remotos,Infraestrutura,Media
66,wi fi esta instavel o wi fi na casa tem sido pouco confiavel conectar e desconectar ocasionalmente,Rede,Baixa
67,mensagem sms nao recebida fico intrigar por que meu telefone um iphone xr esta recusar msmessagens de texto para o numero registrar estou no mesmo rede wi fi e nada mudar recentemente,Comunicação,Alta
68,comunicacao ver whatsapp falha a mensagem nao foi entregar quando tentar fazer uma ligacao por meio de whatsapp,Comunicação,Baixa
69,computador lento o computador esta funcionando mas muito mais devagar do que dever tentativa desliga lo e ligar novamente nao ajudar,Hardware,Baixa
70,problemas intermitentes de conexao wi fi experenco instabilidade na rede wi fi onde o sinal desaparecer em intervalos aleatorios isso afetar a capacidade de trabalhar remotamente e fazer chamadas voip sem interrupcoes,Rede,Baixa
71,insuficiente permissaor de usuario a pessoa reportar nao conseguir visualizar uma pasta que normalmente ter acesso acreditar se que o problema poder estar relacionar a atualizacao recente dos diretorios do sistema,Acesso,Baixa
72,atendimento de pergunta sobre sistema crm o cliente requisitar esclarecimentos quanto a funcionalidades do sistema crm precisar saber como configurar as listas de contatos para campanhas,Acesso,Baixa
73,acesso intermitente wi fi o usuario experimentar dificuldade no uso do wi fi observar uma conexao descontinuar que afetar o trabalho e a comunicacao,Rede,Baixa
74,monitor exibir estouro o monitor de trabalho mostrar uma tela preta mas o computador esta ligar ja verifiquei as configuracoes e redefinir a placa mae sem sucesso,Hardware,Baixa
75,problemas no logon de usuario usuario relatar desafios ao iniciar o sistema mas confirmar que ja tentar reinicia lo,Acesso,Baixa
76,problema ao inserir dados quando tentar adicionar novas entradas no banco as operacoes sao interrompir e o sistema retornar erro de timeout o problema e replicar independentemente do tipo ou volume das informacoes sendo inserir,Banco de Dados,Media
77,sinalizacao mal funcionante os sinais de transito da vizinhanca estao exibir codigo indesejado alguns apresentar uma cor diferente e outros ter textos incorretos,Infraestrutura,Baixa
78,agua corrente intermitente em alguns escritorios o sistema de agua e inconstante e nao funcionar regularmente o problema esta afetar menos da metade das localizacoes,Infraestrutura,Baixa
79,lente do microscopio desfoca obrigar por entrar precisamo de ajuda estou usar o meu microscopio para observar uma amostra biologica e percebi que a lente esta deixar os objetos pouco claros com detalhes fracos,Hardware,Baixa
80,problemas de autenticacao do usuario o cliente relatar dificuldade no reconhecimento correto das credenciais apo atualizacao da conta com tentativas repetir falhar,Acesso,Media
81,recuperacao de senha falhar cliente relatar que tentar o processo de recuperacao de senha por e mail apo ter se esquecer a senha mas nao receber nenhuma resposta do sistema,Acesso,Alta
82,dificuldade na conexao o cliente relatar que encontrar dificuldades para se conectar a internet apesar de ter configurar corretamente o modem e a rede sem fio acontecer apo uma atualizacao do sistema operacional,Acesso,Media
83,sistema de projeto nao responsivo funcionario relatar que o sistema utilizar para projetos esta nao responder intermitentemente causar atrasos no trabalho ate agora tentar reiniciar sem sucesso,Acesso,Baixa
84,erro de login no portal funcionario informar que tentar acessar o portal do trabalho e foi receber um erro login falhar acontecer apos uma atualizacao recente das aplicacoes,Acesso,Media
85,ajustir do monitor obrigar pela ligacao parecer que o seu monitor poder precisar de um reajuste para obter uma resolucao adequada,Hardware,Baixa
86,computador intermitente o computador liga mas sair do modo de funcionamento ocasionalmente sem aviso previo este comportamento e recorrente e nao se encaixar em nenhum padrao especifico,Hardware,Baixa
87,computador sem energia o sistema nao responder as tentativas de ligar o que indicar um problema potencial no hardware,Hardware,Alta
88,problemas de conexao wifi cliente relatar que o seu dispositivo nao conseguir se conectar ao sinal wi fi da empresa apo atualizacao recente do roteador,Acesso,Media
89,insuficiente privilegios no login funcionario tentar acessar o sistema como administrador mas foi informar que seus permissoes nao sao suficientes para esse nivel de acesso,Acesso,Baixa
90,problemas de conexao vpn descricao nao fornecir,Acesso,Media
91,lcd na tela a lcd do computador apresentar uma marca vermelha no canto superior direito e nao conseguir ser alinhar corretamente,Hardware,Media
92,dispositivo movel sem carga meu celular nao esta carregando fui conectar lo na tomada ha uma hora mas nada acontecer,Hardware,Media
93,motorola moto g nao responder o telefone android motorola moto g esta completamente sem sinal apertei o botao power e nada acontecer nem mesmo um led de energia acender,Hardware,Media
94,alimentador de energia falhar o alimentador principal da instalacao esta apresentar intermitencias causar desligamentos periodicos do sistema nao ha impactos imediatos em nenhum equipamento critico,Infraestrutura,Baixa
95,insuficiente memoria funcionario relatar que o sistema esta travando ao tentar abrir um documento grande suspeitando de limite de memoria exceder,Acesso,Baixa
96,recuperacao de senha falhar o usuario informar que nao conseguir acessar o sistema devido a recuperacao do seu e mail para mudanca de senha ter sido incorretamente configurar ele tentar entrar ha algumas horas mas sem sucesso,Acesso,Baixa
97,problemas de conexao wifi funcionario relatar ter dificuldade na ligacao a rede sem fio no escritorio apesar do sinal aparecer,Acesso,Baixa
98,banco de dados lento nos ultimos dias tem haver um aumento no tempo de resposta do banco de dados os usuarios estao reportar atrasos na conclusao das operacoes simples e ate mesmo erros intermitentes ao acessar o sistema,Banco de Dados,Baixa
99,nao conseguir acessar banco de dados o cliente reportar que esta ter problemas ao tentar conectar se aos seus bancos de dados remotos para trabalhar em um projeto sempre conseguir ate agora mas recentemente comecar a receber erros,Acesso,Baixa
100,painel de controle desligar o painel de controle do predio nao responder ao reset e esta inoperante afetar a gestao das operacoes diarias,Infraestrutura,Media
101,problemas de conexao wi fi funcionario relatar ter dificuldade ao se conectar a rede sem fio tentativas anteriores foram infrutiferas e a resolucao imediata e necessaria para continuidade do trabalho,Acesso,Baixa
102,conexao wi fi instavel fico conectar e desconectar constantemente do meu roteador sem aviso causar interrupcoes frequentes na internet,Comunicação,Alta
103,tela mudar a tela do computador ficar sem nenhum sinal atraves da manutencao verifiquei se a conexao lcd esta segura e bem presa,Hardware,Baixa
104,som ausente no laptop o som de saida do notebook esta mudo isso comecar recentemente e nao ha nenhum aviso na tela,Hardware,Baixa
105,ponto de acesso saturar durante o horario comercial vir um aumento na velocidade de conexao lenta no ponto de acesso os clientes estao relatar problemas ao iniciar aplicativos web e trocar mensagens instantaneas,Infraestrutura,Baixa
106,consulta lenta a consulta no banco e mais lenta do que o esperar levar cerca de 15 minutos para ser concluir o cliente precisar deste relatorio diariamente e esta preocupado com a possivel incapacidade de atender essas necessidades,Banco de Dados,Baixa
107,dispositivo bluetooth desconectar o meu telefone nao esta reconhecer o aparelho de bluetooth apo a ultima atualizacao estou tentar conectar los varias vezes mas sem sucesso,Hardware,Baixa
108,ajustar configuracoes do roteador preciso de ajuda para configurar o roteador da internet corretamente pois os clientes estao enfrentar problemas intermitentes com a conexao,Rede,Media
109,retencao de sinal erratica somente na casa do meu filho o wi fi desligar e recomeca aleatoriamente isso acontecer frequentemente durante as tardes,Rede,Media
110,painel de controle onlinar nao responder o painel web da nossa empresa usar diariamente pelos funcionarios para monitorar o status dos equipamentos esta atualmente inacessivel sempre antes haver acesso rapir e sem problemas,Infraestrutura,Media
111,acesso restrito o usuario precisar confirmar sua conta e nao conseguir encontrar o link de recuperacao na caixa postal,Acesso,Baixa
112,sincronizacao da agenda preciso sincronizar minha calendario no outlook com o google calendar ajustar eventos automaticamente seria de grande ajuda,Comunicação,Baixa
113,problemas de conexao funcionarios relatar falha no login do sistema tentativas repetir sem sucesso necessitar intervencao imediata,Acesso,Alta
114,som ausente o som de alta qualidade esperar no computador nao esta funcionando testar o hardware externo e estava claramente audivel,Hardware,Baixa
115,problemas no login cliente relatar ter dificuldade de entrar na conta corporativa devido a senha errar e pedir assistencia para recuperacao da senha,Acesso,Media
116,aplicativo mobile trar meu aplicativo favorito de jogos parar de funcionar apos atualizacao agradeco ajuda para solucionar,Comunicação,Media
117,ruer de audio durante conferencias durante as minhas videochamadas ha um ruido constante que interferir no som ate agora tentar desligar e ligar o microfone sem sucesso,Rede,Baixa
118,suspeita de intruso na rede um funcionario relatar que ver uma pessoa estranha utilizar seu computador o usuario nao reconhecer a conta e esta preocupado com possiveis atividades ilegais,Acesso,Baixa
119,problema com mensagem perder depois de enviar uma ligacao importante percebi que nao esta receber confirmacao preciso garantir que a comunicacao foi bem sucedida,Comunicação,Media
120,nao conseguir conectar ao wi fi o cliente informar que nao conseguir se conectar a internet na rede sem fio da empresa acreditar ter inserir as credenciais corretas mas continuar em desconexao,Acesso,Baixa
121,falha de energia o sistema central esta fora do ar a rede eletrica e o backup nao estao operacionais afetar todas as instalacoes,Infraestrutura,Alta
122,rede domestica instavel a rede wi fi no meu local de trabalho esta apresentar problemas intermitentes onde os sinais cair constantemente isso prejudicar a conexao ao servidor remoto e afetar negativamente o fluxo do meu trabalho diario,Rede,Alta
123,incapacidade de visualizar painel do sistema o usuario relatar ter problemas ao tentar abrir o navegador e acer os graficos da interface mas nao receber nenhum erro especifico,Acesso,Baixa
124,servico de network ocorrer travamento total do servidor principal impedir o acesso ao banco de dados atendimento imediato necessario para evitar interrupcoes no negocio,Infraestrutura,Alta
125,monitor trar o monitor do computador nao esta exibir imagem apesar de estar ligado e funcionar corretamente a tela permanecer em branco,Hardware,Media
126,problema de conexao wi fi sempre que tentar fazer uma ligacao voip ocorrer interrupcao frequente na rede,Comunicação,Baixa
127,conectividade intermitente o cliente ter dificuldade frequente de manter uma conexao constante ao usar o servico wi fi na casa causar atrasos em trabalhos online,Rede,Media
128,e mail nao responder o e mail enviar para o departamento de vendas da empresa incluir uma solicitacao de informacoes sobre um produto especifico permanecer sem resposta por mais de duas horas,Comunicação,Media
129,painel lcd sem resposta o painel de exibicao do computador nao esta ativando apesar da energia estar ligar procurar por botoes no proprio monitor,Hardware,Media
130,login sem sucesso usuario reporta dificuldade no login devido a senha nao reconhecer,Acesso,Baixa
131,consulta lenta estamos enfrentar problemas de desempenho ao executar consultas no banco de dados as solicitacoes se alastr por mais tempo do que o normal afetar a eficiencia dos processos diarios,Banco de Dados,Baixa
132,problemas de login no sistema uma equipe de trabalho informar que varios membros estao enfrentar problemas ao tentar acessar o sistema resultar em atrasos nas operacoes diarias,Acesso,Media
133,computador sem resposta atraves da saida e do monitor nenhum indicativo de inicializacao e observar apertei reset manual para verificar,Hardware,Baixa
134,micrometro deslizar o micrometro esta mostrar leituras incorretas mesmo que o objeto medir seja fixar e conhecer por ter uma espessura padronizar o calibrador parecer estar alinhar corretamente com a ferramenta de inspecao,Hardware,Baixa
135,som semelhante ao zumbido o computador esta funcionando mas ha uma pequena quantidade de som suave e constante nao parecer um ruido intenso ou desagradavel,Hardware,Baixa
136,computador trar no boot apos ligar o computador ele naoer inicializa solucao alternativa procurar,Hardware,Alta
137,conexao wi fi instavel os funcionarios estao enfrentar conexoes intermitentes no ponto de internet da empresa o que esta causar atrasos em reunioes onlinar e nacessar informacoes cruciais,Infraestrutura,Media
138,lampar nao ligar a lampada no meu quarto esta fraca e quase invisivel nao conseguir acender completamente mesmo ajustar o interruptor ou trocar a com uma do outro comodo,Hardware,Baixa
139,banco de dados lento acessar banco de dados levar muito tempo e ocasionalmente apresentar erros necessario assistencia para otimizacao,Banco de Dados,Baixa
140,tratamento demorar preciso saber se e possivel otimizar o desempenho da consulta que retomar os dados do cliente para relatorios semanal,Banco de Dados,Baixa
141,incomodo na conexao wifi funcionario relatar que ha problemas de estabilidade no sinal da rede sem fio o que afetar a navegacao e comunicacoes remotas,Acesso,Baixa
142,roteador de rede desligar aleatoriamente o meu roteador wi fi esta se desligar continuamente isso causar interrupcoes no acesso a internet e afetar as atividades online,Rede,Alta
143,consulta demorar a consulta automatica que atualizar as estatisticas do cliente esta operar lentamente causar um atraso na entrega de informacoes ao time marketing,Banco de Dados,Baixa
144,estrutura de documentos sem suporte o usuario informar que ter dificuldade ao criar arquivos seguir a ferramenta guiada e requerer orientacao para solucionar o problema,Acesso,Baixa
145,luz led piscar irregular o meu computador de trabalho ter uma luz led que esta piscando mais rapidamente do que o normal parecer estar indicativo de algum problema mas nao e urgente para a colaboracao diaria,Hardware,Baixa
146,problemas no software do e mail ocorrer uma falha intermitente na aplicacao de email onde mensagens nao estao sendo receber por alguns usuarios o problema foi relatar apos a atualizacao recente,Comunicação,Baixa
147,rede sem sinal a rede wi fi nao esta funcionando no segundo andar do predio ocorrer o mesmo em varios pontos diferentes e acreditar que isso e causar por algum problema com os roteadores da internet,Rede,Alta
148,limitacao de banda na rede os usuarios reportar reducao na velocidade da internet particularmente durante horas pico a conexao e mais lenta do que a especificada no contrato,Infraestrutura,Media
149,acesso a internet intermitente o cliente relatar que o trafego de internet esta apresentar atrasos e desconexoes frequentes especialmente durante a utilizacao da rede para downloads ou chamadas voip,Rede,Baixa
150,problemas na conexao vpn funcionarios reportar dificuldades subitas de se conectar ao sistema ver vpn afetar o acesso remoto as informacoes corporativas,Acesso,Alta
151,ponto de venda sem sinal o cliente relatar que o ponto fisico nao esta conectado a internet e portanto os pedidos onliner estao indisponiveis pedir ajuda para resolver a situacao,Acesso,Media
152,problemas de conexao wi fi ateleuz o cliente relatar problemas intermitentes na rede sem fio em casa nunca ter esse problema antes e nao esta claro por que comecar,Acesso,Baixa
153,autorizacao de rede ocorrer uma falha na autenticacao do gateway vpn impedir o acesso remoto as redes corporativas,Infraestrutura,Baixa
154,computador desligar sozinho o meu computador esta tendo episodios de ligar e desligar sem nenhum interferencia humana tenho tentar reinicia lo com sucesso mas a questao persistir,Hardware,Baixa
155,falha de rede a estacao base do wi fi esta fora do ar causar problemas na conexao em alguns departamentos da empresa,Infraestrutura,Baixa
156,falha no servico de alimentacao o sistema alimentar esta parando intermitentemente causar atrasos nos servicos e uma diminuicao na qualidade do produto,Infraestrutura,Baixa
157,computador sem som a maquina de entrar na rede esta funcionando mas nao ha nenhum sinal sonoro o teclado e responsivo e a tela mostrar o logotipo da empresa com legenda,Hardware,Alta
158,ressonancia na rede wi fi nos ultimos dias observar uma frequencia de ressonancias audiveis provenientes do modem a interferencia parecer estar aumentar e prejudicar a estabilidade da conexao,Rede,Media
159,sistema de vendas sobrecarregar a equipe da venda reporto que o sistema esta lento e nao conseguir processar pedidos nas ultimas horas a atualizacao do software foi realizar recentemente mas parecer ter impactar negativamente a performance,Acesso,Baixa
160,problemas de conexao usuario relatar ter dificuldade constante ao se conectar a rede interna da empresa o problema nao parecer ser frequente e ocorrer durante a manha,Acesso,Baixa
161,dificuldade de sincronizar smartphone eu nao consigo manter meus dados no celular conectar constantemente ao wi fi da casa acontecer esse problema desde a ultima atualizacao,Rede,Baixa
162,problemas de conectividade o cliente relatar dificuldade na ligacao a internet ao tentar usar o servico onlinar da empresa aparecer um erro em tela verde indicar que a maquina nao conseguir estabelecer uma conexao com os servidores do provedor de internet,Acesso,Media
163,lente digital quebrar a lente da minha camera digital foi acidentalmente quebrar durante o uso gostar de saber sobre a reparacao ou substituicao,Hardware,Media
164,sincronizacao problema no e mail ocorrer demora significativa na sincronizacao do meu e mail atrasar acessos aos contatos,Comunicação,Baixa
165,lapis sem ponta eu me perdi na lista de compras e agora os lapis estao se tornar um problema todos parecer ter perder a sua pena ou sao desse modelo que nunca funcionar bem,Hardware,Baixa
166,comunicacoes ver email trar meu cliente receber o e mail mas todos os anexos estao ausentes no destinatario isso acontecer em varias ocasioes,Comunicação,Baixa
167,suspeita falha de rede os computadores do departamento foram interrompir devido as conexoes sem fio incomuns acreditar que poder haver um problema com o roteador mas ainda nao confirmar,Infraestrutura,Baixa
168,roteador desligar frequentemente o roteador esta intermitentemente entrar no modo de suspensao causar perda de conexao em momentos inesperar,Rede,Media
169,problema no envio do e mail eu estou tentar enviar uma mensagem por email mas o cliente nao esta reconhecer os anexos selecionar achar que a solucao poder ser simples,Comunicação,Media
170,luz led piscar oa ter o seguinte problema a luz indicadora no meu pc esta piscando aleatoriamente e nao dura mais do que um minuto,Hardware,Baixa
171,problema de login funcionario informar que apesar do codigo da senha estar correto e ter seguir as etapas corretamente para a recuperacao do id o sistema continuar apresentar erro ao tentar fazer login,Acesso,Baixa
172,som esta fraco na televisao estou sentir que o som da minha tv e muito baixo ajustei as configuracoes do volume mas nao ha melhora,Hardware,Baixa
173,conectividade intermitente a rede wi fi no meu escritorio e instavel fico conectar mas a velocidade de download para o trabalho onlinar diminuir e as vezes desconecta completamente este problema comeca nas ultimas duas semanas,Rede,Baixa
174,motorola moto g ultra nao sincronizar meu telefone motorola moto g ultra esta travado no processo de inicializacao aponto e ele continuar carregar mas nada acontecer apos a tela chegar ao topo do menu,Hardware,Media
175,reducao de velocidade na conexao wi fi o meu tempo de download e upload no wi fi tem sido significativamente reduzir o que esta afetar minhas atividades online,Rede,Baixa
176,sombras na mensagem tempos de atraso no envio da minha conta por e mail aparentemente a conexao wifi esta lenta ou ocorrer algum problema com os servidores,Comunicação,Baixa
177,acesso bloquear ao banco preciso obter dados do sistema mas estou receber uma mensagem de erro que indicar privilegio insuficiente esta impedir a realizacao das tarefas normais,Banco de Dados,Baixa
178,dificuldade de login funcionario precisar recuperar senha e nao conseguir obter o reset ver e mail,Acesso,Alta
179,roteador de rede instavel o roteador parecer estar funcionar mal os sinais wi fi estao fracos mesmo em locais proximos,Rede,Baixa
180,acesso restrito o usuario relatar ter sido impedir de fazer login no sistema devido a uma suspeita de tentativa de fraude,Acesso,Media
181,problemas intermitentes de conexao wi fi os clientes reportar que sua rede wi fi esta fora do ar e retorner apenas apos alguns minutos a falta permanente nao e constante mas ocorrer com frequencia durante as horas pico de utilizacao,Rede,Media
182,consulta do banco demorar querer saber o porque da consulta sql que estou executar para atualizar os dados cliente tomar mais de uma hora acontecer recentemente apos a ultima migracao de dados e esta afetar nossa operacao diaria,Banco de Dados,Alta
183,incapacidade de conectar a rede funcionario relatar problemas ao tentar se conectar a internet da empresa haver um apagao recente e acreditar que o hub esta comprometido,Acesso,Baixa
184,baixo volume no laptop o volume do meu computador portatil esta muito baixo e nao consigo ouvir o som da midia que estou assistir,Hardware,Baixa
185,somente audio no skype quando tentar fazer uma ligacao por video pelo skype ocorrer que apenas poder ser ouvir e nao ve lo,Comunicação,Baixa
