id,text_final,target_category
20,banco de dado lento desenvolvemos uma consulta critica que nao responde dentro do prazo esperado causando atrasos na operacoes comerciais ajude a otimizar o desempenho,Banco de Dados
21,sistema de sm nao funciona o sistema responsavel pela operacao do sm esta apresentando falhas causando atrasos na comunicacao entre o clientes e o nosso servico,Rede
22,e mail nao envia anexos quando tento enviar um arquivo pdf pelo outlook da erro de tamanho excedido,Comunicação
23,motorola g7 nao responde meu motorola g7 esta funcionando ma recentemente parou de reconhecer comandos testei o recurso verificar problemas no menu do software da montagem e ele indica que a bateria e boa,Hardware
24,problemas na conexao wi fi estou tendo dificuldades para se conectar a minha rede sem fio acesso ao internet esta intermitente e a velocidade e muito lenta,Comunicação
25,problemas de conexao wi fi cliente relatum que esta experimentando instabilidade na rede wi fi em casa tem baixas frequencias e o servico ja foi atualizado,Acesso
26,ruido de audio durante o transito durante viagens percebo que ha um ruido intermitente no meu computador portatil quando esta conectado ao bluetooth do carro isso causa desconforto e dificuldade em ouvir o audio de aplicativos sem fio,Rede
27,erro no envio do email consigo enviar mensagens sem problemas ma quando quero adicionar um anexo de pdf para o colega jose silva no e mail da integracao comercial recebo a mensagem ocorreu erro ao tentar carregar este arquivo acontece tambem que nao consigo enviar outros tipos de arquivos,Comunicação
28,suspeita de violacao de senha funcionario informa que encontrou uma mensagem do sistema indicando tentativas multiplas para alterar a senha ma nao reconhece o usuario associado,Acesso
29,problemas de conexao wi fi o usuario relatum que o seu telefone nao consegue se conectar automaticamente ao acesso sem fio do escritorio ja tentou reiniciar a configuracoes e adicionar novamente ma falha persistente,Acesso
30,mapeamento infraestrutural precisamos atualizar o mapa da rede interna devido a adicao de novos servicos e redes vlan,Infraestrutura
31,falha no monitor somente parte da tela mostra o conteudo restante e preenchido por cor azul escura tentativas de conectar a outra tv mostram somente uma pequena area do video,Hardware
32,problemas de conexao diretor da empresa relatou que a redes corporativas estao desconectadas intermitentemente causando atrasos no trabalho do departamentos afetados,Acesso
33,roteador sem conexao wi fi o roteador perde o sinal constante e nao consegue reconectar apos redefinir acontece aproximadamente duas vezes por dia afetando varias dispositivos,Rede
34,problemas de conexao wi fi uma da unidades da equipe informa que seu computador nao consegue se conectar a rede sem fio e ja tentou reinicia la ma o problema persiste acredita ser um bug na configuracao do roteador,Acesso
35,problema na criacao do pdf ocorreu erro ao usar o adobe acrobat reader o documento nao responde quando mando para a impressora,Comunicação
36,mensagem do linkedin falha a mensagem que estou tentando enviar pelo linkedin nao esta chegando estou recebendo um erro indicando problema com a conexao isso acontece desde o ultimo software de atualizacao,Comunicação
37,problemas intermitentes de conexao a rede wi fi apresenta instabilidade onde o sinal desaparece e volta algumas vez pull depois,Rede
38,dificuldade na conexao wi fi tenho tentado se conectar a internet usando o roteador de casa ma nao conseguiria resolver o simbolos da rede sao visiveis no dispositivo movel e na televisao com smart tv,Comunicação
39,recuperacao de senha falhou o usuario informa que tentou fazer o processo automatico de recuperacao da senha ma nao recebeu a instrucoes necessarias para completar a operacao,Acesso
40,problemas de login do sistema o administrador relatum que nao consegue fazer logout e esta recebendo alertas incomuns suspeita de possivel seguranca comprometida,Acesso
41,problemas de navegacao na interface do site o usuario relatum dificuldades ao navegar pelas paginas da empresa afirma que a rotulagens e link nao estao funcionando como esperado causando confusao no acesso aos seus documentos,Acesso
42,reducao de velocidade na rede a internet no computador esta desacelerando gradualmente a velocidade ja estava boa ma agora o downloads e uploads sao muito lentos,Rede
43,roteador nao responde o roteador parece estar desligado ou sem sinal poi o computador do escritorio tem dificuldade de se conectar a internet,Rede
44,rede de internet esta lenta o consumidor reporta que o seu servico de internet e significativamente mais lento do que esperado o sinai e conexoes parecem normais ma o tempo de acesso a web estao abaixo do padroes,Rede
45,solucao de senha incomum funcionario relatum que nao consegue usar senhas padrao devido a politicas corporativas atualizadas necessitando suporte para alternar metodos de autenticacao,Acesso
46,problemas de conexao no aplicativo do cliente um usuario relatum que o aplicativo movel desenvolvido pela empresa nao esta respondendo ao seu clique e ocasionalmente mostra erros 404 na tela,Acesso
47,mudanca do led indicador o monitor de trabalho apresenta mudanca no esquema de core da luz verde amarela que ante era fixo ajustar a luminosidade nao resolve o problema,Hardware
48,falha no servico de navegacao o sistema gps da estacao maritima falhou e precisa ser restaurado imediatamente para garantir a navegacao segura do navios,Infraestrutura
49,roteador de rede falha intermitente o roteador wi fi esta apresentando problemas perdendo conexao regularmente durante o dia e precisa ser revisado,Rede
50,router desligando aleatoriamente o roteador da casa esta reiniciando por conta propria causando interrupcoes no acesso a internet,Rede
51,lampada led fica vermelha a lampada no meu escritorio acende ma permanece em tom de vermelho estou preocupado com a eficiencia energetica neste caso,Hardware
52,problemas na impressora a impressora esta deixando de imprimir alguns documentos ma outros estao sendo impressos normalmente aconteceu depois do ultimo software atualizado,Hardware
53,wi fi instavel a conexao wi fi e intermitente afetando principalmente na ultima hora da tarde ocorre de forma semana a fina,Rede
54,ponto de internet lento ha uma perda gradual da velocidade do internet ao longo da ultima semanas especialmente durante o horario pico,Rede
55,intrusao na rede um funcionario notou uma conexao nao solicitada entre seu computador e um dispositivo externo durante o horario de trabalho o uso desta conexao foi inesperado poi normalmente esta desconectado,Acesso
56,problemas de conexao wifi o cliente esta experimentando dificuldades intermitentes na ligacao a internet via roteador sem fio apesar da configuracao parecer correta,Acesso
57,computador atrasa inicializacao o computador demora mais de cinco minutos ante de iniciar o sistema operacional o monitor mostra uma luz verde ma nao apresenta nenhum sinal,Hardware
58,dificuldade de conectar via wi fi acontece que nao consigo fazer o meu dispositivo se conectar a rede wi fi em casa acessou a lista de redes ma ela fica fixa e estaria anonima no momento da selecao,Rede
59,computador sem energia a maquina nao responde quando o botao power e pressionado o problema pode estar na tomada ma precisamos descobrir se ha algum outro problema de hardware,Hardware
60,problema no envio do e mail acontece que ao tentar mandar um email de trabalho importante via gmail para mim mesmo o sistema falha em envia lo a mensagem esta disponivel na caixa de entrada ma nao ha acesso a pasta externa necessaria do destinatario,Comunicação
61,problemas de login o usuario relatum que nao consegue fazer o logon e ja tentou resetar a credenciais sem sucesso,Acesso
62,bomba termica nao responder a bomba termica esta funcionando ma o computador continuum ficando quente tentei reiniciar varias vezes sem sucesso,Hardware
63,pagina de login oculta funcionario relatum que nao consegue encontrar o link da pagina inicial do sistema e busca ajuda para redirecionamento,Acesso
64,ruido no cabo coaxial falha de comunicacao intermitente por um intervalo regular que afeta a operacao da rede corporativa,Infraestrutura
65,falha no servico de redes a rede interna da empresa esta instavel resultando na perda intermitente do acesso a internet e aos sistemas remotos,Infraestrutura
66,wi fi esta instavel o wi fi na casa tem sido pouco confiavel conectando e desconectando ocasionalmente,Rede
67,mensagem sm nao recebida fico intrigado por que meu telefone um iphone xr esta recusando msmessagens de texto para o numero registrado estou no mesmo rede wi fi e nada mudou recentemente,Comunicação
68,comunicacao via whatsapp falha a mensagem nao foi entregue quando tentar fazer uma ligacao por meio de whatsapp,Comunicação
69,computador lento o computador esta funcionando ma muito mais devagar do que deveria tentativa desliga lo e ligar novamente nao ajudou,Hardware
70,problemas intermitentes de conexao wi fi experenco instabilidade na rede wi fi onde o sinal desaparece em intervalos aleatorios isso afeta a capacidade de trabalhar remotamente e fazer chamadas voip sem interrupcoes,Rede
71,insuficiente permissao de usuario a pessoa reportou nao conseguir visualizar uma pasta que normalmente tem acesso acredita se que o problema pode estar relacionado a atualizacao recente do diretorios do sistema,Acesso
72,atendimento de pergunta sobre sistema crm o cliente requisitou esclarecimentos quanto a funcionalidades do sistema crm precisa saber como configurar a listas de contatos para campanhas,Acesso
73,acesso intermitente wi fi o usuario experimenta dificuldade no uso do wi fi observando uma conexao descontinua que afeta o trabalho e a comunicacao,Rede
74,monitor exibe estouro o monitor de trabalho mostra uma tela preta ma o computador esta ligado ja verifiquei a configuracoes e redefiniram a placa mae sem sucesso,Hardware
75,problemas no logon de usuario usuario relatum desafios ao iniciar o sistema ma confirma que ja tentou reinicia lo,Acesso
76,problema ao inserir dado quando tento adicionar nova entradas no banco a operacoes sao interrompidas e o sistema retorna erro de timeout o problema e replicado independentemente do tipo ou volume da informacoes sendo inseridas,Banco de Dados
77,sinalizacao mal funcionante o sinai de transito da vizinhanca estao exibindo codigo indesejado alguns apresentam uma cor diferente e outros tem textos incorretos,Infraestrutura
78,agua corrente intermitente em alguns escritorios o sistema de agua e inconstante e nao funciona regularmente o problema esta afetando menos da metade da localizacoes,Infraestrutura
79,lente do microscopio desfoca obrigada por entrar precisamos de ajuda estou usando o meu microscopio para observar uma amostra biologica e percebi que a lente esta deixando o objetos pouco claro com detalhes fracos,Hardware
80,problemas de autenticacao do usuario o cliente relatum dificuldade no reconhecimento correto da credenciais apos atualizacao da conta com tentativas repetidas falhando,Acesso
81,recuperacao de senha falhou cliente relatum que tentou o processo de recuperacao de senha por e mail apos ter se esquecido a senha ma nao recebeu nenhuma resposta do sistema,Acesso
82,dificuldade na conexao o cliente relatum que encontra dificuldades para se conectar a internet apesar de ter configurado corretamente o modem e a rede sem fio acontece apos uma atualizacao do sistema operacional,Acesso
83,sistema de projeto nao responsivo funcionario relatou que o sistema utilizado para projetos esta nao respondendo intermitentemente causando atrasos no trabalho ate agora tentaram reiniciar sem sucesso,Acesso
84,erro de login no portal funcionario informa que tentou acessar o portal do trabalho e foi recebido um erro login falhou aconteceu apos uma atualizacao recente da aplicacoes,Acesso
85,ajuste do monitor obrigado pela ligacao parece que o seu monitor pode precisar de um reajuste para obter uma resolucao adequada,Hardware
86,computador intermitente o computador liga ma sai do modo de funcionamento ocasionalmente sem aviso previo este comportamento e recorrente e nao se encaixa em nenhum padrao especifico,Hardware
87,computador sem energia o sistema nao responde a tentativas de ligar o que indica um problema potencial no hardware,Hardware
88,problemas de conexao wifi cliente relatum que o seu dispositivo nao consegue se conectar ao sinal wi fi da empresa apos atualizacao recente do roteador,Acesso
89,insuficiente privilegios no login funcionario tentou acessar o sistema como administrador ma foi informado que seus permissoes nao sao suficientes para esse nivel de acesso,Acesso
90,problemas de conexao vpn descricao nao fornecida,Acesso
91,lcd na tela a lcd do computador apresenta uma marca vermelha no canto superior direito e nao consegue ser alinhada corretamente,Hardware
92,dispositivo movel sem carga meu celular nao esta carregando fui conecta lo na tomada ha uma hora ma nada aconteceu,Hardware
93,motorola moto g nao responde o telefone android motorola moto g esta completamente sem sinal apertei o botao power e nada aconteceu nem mesmo um led de energia acendeu,Hardware
94,alimentador de energia falhando o alimentador principal da instalacao esta apresentando intermitencias causando desligamentos periodicos do sistema nao ha impactos imediatos em nenhum equipamento critico,Infraestrutura
95,insuficiente memoria funcionario relatum que o sistema esta travando ao tentar abrir um documento grande suspeitando de limite de memoria excedido,Acesso
96,recuperacao de senha falhada o usuario informa que nao consegue acessar o sistema devido a recuperacao do seu e mail para mudanca de senha ter sido incorretamente configurada ele tentou entrar ha algumas horas ma sem sucesso,Acesso
97,problemas de conexao wifi funcionario relatum ter dificuldade na ligacao a rede sem fio no escritorio apesar do sinal aparecer,Acesso
98,banco de dado lento no ultimos dia tem havido um aumento no tempo de resposta do banco de dado o usuarios estao reportando atrasos na conclusao da operacoes simple e ate mesmo erros intermitentes ao acessar o sistema,Banco de Dados
99,nao consegue acessar banco de dado o cliente reporta que esta tendo problemas ao tentar conectar se aos seus bancos de dado remotos para trabalhar em um projeto sempre conseguia ate agora ma recentemente comecou a receber erros,Acesso
100,painel de controle desligado o painel de controle do predio nao respondeu ao reset e esta inoperante afetando a gestao da operacoes diarias,Infraestrutura
101,problemas de conexao wi fi funcionario relatum ter dificuldade ao se conectar a rede sem fio tentativas anteriores foram infrutiferas e a resolucao imediata e necessaria para continuidade do trabalho,Acesso
102,conexao wi fi instavel fico conectado e desconectando constantemente do meu roteador sem aviso causando interrupcoes frequentes na internet,Comunicação
103,tela muda a tela do computador fica sem nenhum sinal atraves da manutencao verifiquei se a conexao lcd esta segura e bem presa,Hardware
104,som ausente no laptop o som de saida do notebook esta mudo isso comecou recentemente e nao ha nenhum aviso na tela,Hardware
105,ponto de acesso saturado durante o horario comercial vimos um aumento na velocidade de conexao lenta no ponto de acesso o clientes estao relatando problemas ao iniciar aplicativos web e trocar mensagens instantaneas,Infraestrutura
106,consulta lenta a consulta no banco e mais lenta do que o esperado levando cerca de 15 minutos para ser concluida o cliente precisa deste relatorio diariamente e esta preocupado com a possivel incapacidade de atender essas necessidades,Banco de Dados
107,dispositivo bluetooth desconectado o meu telefone nao esta reconhecendo o aparelho de bluetooth apos a ultima atualizacao estou tentando conecta los varias vezes ma sem sucesso,Hardware
108,ajustar configuracoes do roteador preciso de ajuda para configurar o roteador da internet corretamente poi o clientes estao enfrentando problemas intermitentes com a conexao,Rede
109,retencao de sinal erratica somente na casa do meu filho o wi fi desliga e recomeca aleatoriamente isso acontece frequentemente durante a tardes,Rede
110,painel de controle online nao responde o painel web da nossa empresa usado diariamente pelos funcionarios para monitorar o status do equipamentos esta atualmente inacessivel sempre ante havia acesso rapido e sem problemas,Infraestrutura
111,acesso restrito o usuario precisa confirmar sua conta e nao consegue encontrar o link de recuperacao na caixa postal,Acesso
112,sincronizacao da agenda preciso sincronizar minha calendario no outlook com o google calendar ajustar eventos automaticamente seria de grande ajuda,Comunicação
113,problemas de conexao funcionarios relatam falha no login do sistema tentativas repetidas sem sucesso necessitando intervencao imediata,Acesso
114,som ausente o som de alta qualidade esperado no computador nao esta funcionando testei o hardware externo e estava claramente audivel,Hardware
115,problemas no login cliente relatou ter dificuldade de entrar na conta corporativa devido a senha errada e pediu assistencia para recuperacao da senha,Acesso
116,aplicativo mobile trava meu aplicativo favorito de jogos parou de funcionar apos atualizacao agradeco ajuda para solucionar,Comunicação
117,ruido de audio durante conferencias durante a minhas videochamadas ha um ruido constante que interfere no som ate agora tentei desligar e ligar o microfone sem sucesso,Rede
118,suspeita de intruso na rede um funcionario relatum que viu uma pessoa estranha utilizando seu computador o usuario nao reconhece a conta e esta preocupado com possiveis atividades ilegais,Acesso
119,problema com mensagem perdida depois de enviar uma ligacao importante percebi que nao esta recebendo confirmacao preciso garantir que a comunicacao foi bem sucedida,Comunicação
120,nao consegue conectar ao wi fi o cliente informa que nao conseguiu se conectar a internet na rede sem fio da empresa acredita ter inserido a credenciais corretas ma continuum em desconexao,Acesso
121,falha de energia o sistema central esta forum do ar a rede eletrica e o backup nao estao operacionais afetando toda a instalacoes,Infraestrutura
122,rede domestica instavel a rede wi fi no meu local de trabalho esta apresentando problemas intermitentes onde o sinai caem constantemente isso prejudica a conexao ao servidor remoto e afeta negativamente o fluxo do meu trabalho diario,Rede
123,incapacidade de visualizar painel do sistema o usuario relatum ter problemas ao tentar abrir o navegador e acesse o graficos da interface ma nao recebe nenhum erro especifico,Acesso
124,servico de network ocorreu travamento total do servidor principal impedindo o acesso ao banco de dado atendimento imediato necessario para evitar interrupcoes no negocio,Infraestrutura
125,monitor trava o monitor do computador nao esta exibindo imagem apesar de estar ligado e funcionando corretamente a tela permanece em branco,Hardware
126,problema de conexao wi fi sempre que tento fazer uma ligacao voip ocorre interrupcao frequente na rede,Comunicação
127,conectividade intermitente o cliente tem dificuldade frequente de manter uma conexao constante ao usar o servico wi fi na casa causando atrasos em trabalhos online,Rede
128,e mail nao responde o e mail enviado para o departamento de vendas da empresa incluindo uma solicitacao de informacoes sobre um produto especifico permanece sem resposta por mais de duas horas,Comunicação
129,painel lcd sem resposta o painel de exibicao do computador nao esta ativando apesar da energia estar ligada procurar por botoes no proprio monitor,Hardware
130,login sem sucesso usuario reporta dificuldade no login devido a senha nao reconhecida,Acesso
131,consulta lenta estamos enfrentando problemas de desempenho ao executar consultas no banco de dado a solicitacoes se alastram por mais tempo do que o normal afetando a eficiencia do processos diarios,Banco de Dados
132,problemas de login no sistema uma equipe de trabalho informa que varios membros estao enfrentando problemas ao tentar acessar o sistema resultando em atrasos na operacoes diarias,Acesso
133,computador sem resposta atraves da saida e do monitor nenhum indicativo de inicializacao e observado apertei reset manual para verificar,Hardware
134,micrometro deslizando o micrometro esta mostrando leituras incorretas mesmo que o objeto medido seja fixado e conhecido por ter uma espessura padronizada o calibrador parece estar alinhado corretamente com a ferramenta de inspecao,Hardware
135,som semelhante ao zumbido o computador esta funcionando ma ha uma pequena quantidade de som suave e constante nao parece um ruido intenso ou desagradavel,Hardware
136,computador trava no boot apos ligar o computador ele nao inicializa solucao alternativa procurada,Hardware
137,conexao wi fi instavel o funcionarios estao enfrentando conexoes intermitentes no ponto de internet da empresa o que esta causando atrasos em reunioes online e nacessar informacoes cruciais,Infraestrutura
138,lampada nao ligando a lampada no meu quarto esta fraca e quase invisivel nao consegui acender completamente mesmo ajustando o interruptor ou trocando a com uma do outro comodo,Hardware
139,banco de dado lento acessando banco de dado lev muito tempo e ocasionalmente apresenta erros necessario assistencia para otimizacao,Banco de Dados
140,tratamento demorado preciso saber se e possivel otimizar o desempenho da consulta que retoma o dado do cliente para relatorios semanal,Banco de Dados
141,incomodo na conexao wifi funcionario relatou que ha problemas de estabilidade no sinal da rede sem fio o que afeta a navegacao e comunicacoes remotas,Acesso
142,roteador de rede desligando aleatoriamente o meu roteador wi fi esta se desligando continuamente isso causa interrupcoes no acesso a internet e afeta a atividades online,Rede
143,consulta demorada a consulta automatica que atualiza a estatisticas do cliente esta operando lentamente causando um atraso na entrega de informacoes ao time marketing,Banco de Dados
144,estrutura de documentos sem suporte o usuario informa que tem dificuldade ao criar arquivos seguindo a ferramenta guiada e requer orientacao para solucionar o problema,Acesso
145,luz led piscar irregular o meu computador de trabalho tem uma luz led que esta piscando mais rapidamente do que o normal parece estar indicativo de algum problema ma nao e urgente para a colaboracao diaria,Hardware
146,problemas no software do e mail ocorreu uma falha intermitente na aplicacao de email onde mensagens nao estao sendo recebidas por alguns usuarios o problema foi relatado apos a atualizacao recente,Comunicação
147,rede sem sinal a rede wi fi nao esta funcionando no segundo andar do predio ocorre o mesmo em varios pontos diferentes e acredito que isso e causado por algum problema com o roteadores da internet,Rede
148,limitacao de banda na rede o usuarios reportam reducao na velocidade da internet particularmente durante horas pico a conexao e mais lenta do que a especificada no contrato,Infraestrutura
149,acesso a internet intermitente o cliente relatum que o trafego de internet esta apresentando atrasos e desconexoes frequentes especialmente durante a utilizacao da rede para downloads ou chamadas voip,Rede
150,problemas na conexao vpn funcionarios reportaram dificuldades subitas de se conectar ao sistema via vpn afetando o acesso remoto a informacoes corporativas,Acesso
151,ponto de venda sem sinal o cliente relatou que o ponto fisico nao esta conectado a internet e portanto o pedidos online estao indisponiveis pediu ajuda para resolver a situacao,Acesso
152,problemas de conexao wi fi ateleuz o cliente relatum problemas intermitentes na rede sem fio em casa nunca teve esse problema ante e nao esta claro por que comecou,Acesso
153,autorizacao de rede ocorreu uma falha na autenticacao do gateway vpn impedindo o acesso remoto a redes corporativas,Infraestrutura
154,computador desligando sozinho o meu computador esta tendo episodios de ligar e desligar sem nenhum interferencia humana tenho tentado reinicia lo com sucesso ma a questao persiste,Hardware
155,falha de rede a estacao base do wi fi esta forum do ar causando problemas na conexao em alguns departamentos da empresa,Infraestrutura
156,falha no servico de alimentacao o sistema alimentar esta parando intermitentemente causando atrasos no servicos e uma diminuicao na qualidade do produto,Infraestrutura
157,computador sem som a maquina de entrar na rede esta funcionando ma nao ha nenhum sinal sonoro o teclado e responsivo e a tela mostra o logotipo da empresa com legenda,Hardware
158,ressonancia na rede wi fi no ultimos dia observamos uma frequencia de ressonancias audiveis provenientes do modem a interferencia parece estar aumentando e prejudicando a estabilidade da conexao,Rede
159,sistema de vendas sobrecarregado a equipe da venda reporta que o sistema esta lento e nao consegue processar pedidos na ultima horas a atualizacao do software foi realizada recentemente ma parece ter impactado negativamente a performance,Acesso
160,problemas de conexao usuario relatum ter dificuldade constante ao se conectar a rede interna da empresa o problema nao parece ser frequente e ocorre durante a manha,Acesso
161,dificuldade de sincronizar smartphone eu nao consigo manter meus dado no celular conectado constantemente ao wi fi da casa acontece esse problema desde a ultima atualizacao,Rede
162,problemas de conectividade o cliente relatum dificuldade na ligacao a internet ao tentar usar o servico online da empresa apareceu um erro em tela verde indicando que a maquina nao consegue estabelecer uma conexao com o servidores do provedor de internet,Acesso
163,lente digital quebrada a lente da minha camera digital foi acidentalmente quebrada durante o uso gostaria de saber sobre a reparacao ou substituicao,Hardware
164,sincronizacao problema no e mail ocorre demora significativa na sincronizacao do meu e mail atrasando acessos aos contatos,Comunicação
165,lapis sem ponta eu me perdi na lista de compras e agora o lapis estao se tornando um problema todos parecem ter perdido a sua pena ou sao desse modelo que nunca funcionou bem,Hardware
166,comunicacoes via email trava meu cliente recebe o e mail ma todos o anexos estao ausentes no destinatario isso acontece em varias ocasioes,Comunicação
167,suspeita falha de rede o computadores do departamento foram interrompidos devido a conexoes sem fio incomuns acreditamos que pode haver um problema com o roteador ma ainda nao confirmado,Infraestrutura
168,roteador desligando frequentemente o roteador esta intermitentemente entrando no modo de suspensao causando perda de conexao em momentos inesperados,Rede
169,problema no envio do e mail eu estou tentando enviar uma mensagem por email ma o cliente nao esta reconhecendo o anexos selecionados acho que a solucao pode ser simple,Comunicação
170,luz led piscar oa tenho o seguinte problema a luz indicadora no meu pc esta piscando aleatoriamente e nao dura mais do que um minuto,Hardware
171,problema de login funcionario informa que apesar do codigo da senha estar correto e ter seguido a etapas corretamente para a recuperacao do id o sistema continuum apresentando erro ao tentar fazer login,Acesso
172,som esta fraco na televisao estou sentindo que o som da minha tv e muito baixo ajustei a configuracoes do volume ma nao ha melhora,Hardware
173,conectividade intermitente a rede wi fi no meu escritorio e instavel fico conectado ma a velocidade de download para o trabalho online diminui e a vezes desconecta completamente este problema comeca na ultima duas semanas,Rede
174,motorola moto g ultra nao sincronizando meu telefone motorola moto g ultra esta travado no processo de inicializacao aponto e ele continuum carregando ma nada acontece apos a tela chegar ao topo do menu,Hardware
175,reducao de velocidade na conexao wi fi o meu tempo de download e upload no wi fi tem sido significativamente reduzido o que esta afetando minhas atividades online,Rede
176,sombras na mensagem tempo de atraso no envio da minha conta por e mail aparentemente a conexao wifi esta lenta ou ocorreu algum problema com o servidores,Comunicação
177,acesso bloqueado ao banco preciso obter dado do sistema ma estou recebendo uma mensagem de erro que indica privilegio insuficiente esta impedindo a realizacao da tarefas normais,Banco de Dados
178,dificuldade de login funcionario precisa recuperar senha e nao consegue obter o reset via e mail,Acesso
179,roteador de rede instavel o roteador parece estar funcionando mal o sinai wi fi estao fracos mesmo em locais proximos,Rede
180,acesso restrito o usuario relatum ter sido impedido de fazer login no sistema devido a uma suspeita de tentativa de fraude,Acesso
181,problemas intermitentes de conexao wi fi o clientes reportam que sua rede wi fi esta forum do ar e retorna apenas apos alguns minutos a falta permanente nao e constante ma ocorre com frequencia durante a horas pico de utilizacao,Rede
182,consulta do banco demorando quero saber o porque da consulta sql que estou executando para atualizar o dado cliente tomar mais de uma hora aconteceu recentemente apos a ultima migracao de dado e esta afetando nossa operacao diaria,Banco de Dados
183,incapacidade de conectar a rede funcionario relatum problemas ao tentar se conectar a internet da empresa houve um apagao recente e acredita que o hub esta comprometido,Acesso
184,baixo volume no laptop o volume do meu computador portatil esta muito baixo e nao consigo ouvir o som da midia que estou assistindo,Hardware
185,somente audio no skype quando tento fazer uma ligacao por video pelo skype ocorre que apenas pode ser ouvido e nao ve lo,Comunicação
186,problemas de conectividade o usuario relatum ter dificuldade intermitente na ligacao a rede interna afetando o acesso ao aplicativo basico do trabalho,Acesso
187,baixo volume da tela o volume do meu monitor esta muito baixo tentei aumenta lo no menu de configuracoes ma o resultado e insuficiente para visualizar conteudo claramente,Hardware
188,problema de conexao semelhante funcionario relatum problemas intermitentes ao tentar se conectar a internet ma a tarefas online nao sao afetadas,Acesso
189,roteador nao conecta a internet o roteador da casa esta funcionando ma o computador e o smartphones conseguem acessar apenas alguns site todos a outras aplicacoes online estao indisponiveis,Rede
190,atendimento ao cliente de it apronte se estamos indisponivel esta semana,Infraestrutura
191,rede ip cair constantemente ocorre frequentes quedas de rede que impedem o uso do internet na nossa empresa isso esta afetando a operacoes e a comunicacao em tempo real,Rede
192,dificuldade na conexao wi fi ha uma intermitencia no sinal de internet causando problemas ao usar o computador para trabalhar,Rede
193,som de ping alto a frequencia do sinai ping esta aumentando causando atrasos no trafego da internet,Rede
194,problemas de conectividade vpn ocorreram interrupcoes frequentes ao tentar usar o servico vpn impedindo o acesso seguro a internet corporativa,Rede
195,problema intermitente na conexao wi fi ocorre algumas vezes desconexao no meu roteador afetando a internet e o trabalho remoto,Comunicação
196,problema de login funcionario relatum dificuldade em utilizar o sistema ma ja tentou passar pelo processo padrao,Acesso
197,problema na navegacao da pagina estou tentando encontrar informacoes sobre o processo de solicitacao em ingles no site ma nao consigo achar nenhuma opcao para pesquisa por texto apenas icones e menu desaparecem quando passo o mouse,Comunicação
198,fonte usb nao funciona a fonte usb que uso no laptop parou de fornecer energia ainda consigo conectar outros dispositivos,Hardware
