id,titulo_higienizado,descricao_higienizada,texto_final_higienizado,categoria,prioridade
60,problema no envio do e mail,acontece que ao tentar mandar um email de trabalho importante via gmail para mim mesmo o sistema falha em envia lo a mensagem esta disponivel na caixa de entrada mas nao ha acesso a pasta externa necessaria do destinatario,problema no envio do e mail acontece que ao tentar mandar um email de trabalho importante via gmail para mim mesmo o sistema falha em envia lo a mensagem esta disponivel na caixa de entrada mas nao ha acesso a pasta externa necessaria do destinatario,Comunicação,Alta
61,problemas de login,o usuario relata que nao consegue fazer o logon e ja tentou resetar as credenciais sem sucesso,problemas de login o usuario relata que nao consegue fazer o logon e ja tentou resetar as credenciais sem sucesso,Acesso,Baixa
62,bomba termica nao responder,a bomba termica esta funcionando mas o computador continua ficando quente tentei reiniciar varias vezes sem sucesso,bomba termica nao responder a bomba termica esta funcionando mas o computador continua ficando quente tentei reiniciar varias vezes sem sucesso,Hardware,Media
63,pagina de login oculta,funcionario relata que nao consegue encontrar o link da pagina inicial do sistema e busca ajuda para redirecionamento,pagina de login oculta funcionario relata que nao consegue encontrar o link da pagina inicial do sistema e busca ajuda para redirecionamento,Acesso,Baixa
64,ruido no cabo coaxial,falha de comunicacao intermitente por um intervalo regular que afeta a operacao da rede corporativa,ruido no cabo coaxial falha de comunicacao intermitente por um intervalo regular que afeta a operacao da rede corporativa,Infraestrutura,Media
65,falha no servico de redes,a rede interna da empresa esta instavel resultando na perda intermitente do acesso a internet e aos sistemas remotos,falha no servico de redes a rede interna da empresa esta instavel resultando na perda intermitente do acesso a internet e aos sistemas remotos,Infraestrutura,Media
66,wi fi esta instavel,o wi fi na casa tem sido pouco confiavel conectando e desconectando ocasionalmente,wi fi esta instavel o wi fi na casa tem sido pouco confiavel conectando e desconectando ocasionalmente,Rede,Baixa
67,mensagem sms nao recebida,fico intrigado por que meu telefone um iphone xr esta recusando msmessagens de texto para o numero registrado estou no mesmo rede wi fi e nada mudou recentemente,mensagem sms nao recebida fico intrigado por que meu telefone um iphone xr esta recusando msmessagens de texto para o numero registrado estou no mesmo rede wi fi e nada mudou recentemente,Comunicação,Alta
68,comunicacao via whatsapp falha,a mensagem nao foi entregue quando tentar fazer uma ligacao por meio de whatsapp,comunicacao via whatsapp falha a mensagem nao foi entregue quando tentar fazer uma ligacao por meio de whatsapp,Comunicação,Baixa
69,computador lento,o computador esta funcionando mas muito mais devagar do que deveria tentativa desliga lo e ligar novamente nao ajudou,computador lento o computador esta funcionando mas muito mais devagar do que deveria tentativa desliga lo e ligar novamente nao ajudou,Hardware,Baixa
70,problemas intermitentes de conexao wi fi,experenco instabilidade na rede wi fi onde o sinal desaparece em intervalos aleatorios isso afeta a capacidade de trabalhar remotamente e fazer chamadas voip sem interrupcoes,problemas intermitentes de conexao wi fi experenco instabilidade na rede wi fi onde o sinal desaparece em intervalos aleatorios isso afeta a capacidade de trabalhar remotamente e fazer chamadas voip sem interrupcoes,Rede,Baixa
71,insuficiente permissao de usuario,a pessoa reportou nao conseguir visualizar uma pasta que normalmente tem acesso acredita se que o problema pode estar relacionado a atualizacao recente dos diretorios do sistema,insuficiente permissao de usuario a pessoa reportou nao conseguir visualizar uma pasta que normalmente tem acesso acredita se que o problema pode estar relacionado a atualizacao recente dos diretorios do sistema,Acesso,Baixa
72,atendimento de pergunta sobre sistema crm,o cliente requisitou esclarecimentos quanto a funcionalidades do sistema crm precisa saber como configurar as listas de contatos para campanhas,atendimento de pergunta sobre sistema crm o cliente requisitou esclarecimentos quanto a funcionalidades do sistema crm precisa saber como configurar as listas de contatos para campanhas,Acesso,Baixa
73,acesso intermitente wi fi,o usuario experimenta dificuldade no uso do wi fi observando uma conexao descontinua que afeta o trabalho e a comunicacao,acesso intermitente wi fi o usuario experimenta dificuldade no uso do wi fi observando uma conexao descontinua que afeta o trabalho e a comunicacao,Rede,Baixa
74,monitor exibe estouro,o monitor de trabalho mostra uma tela preta mas o computador esta ligado ja verifiquei as configuracoes e redefiniram a placa mae sem sucesso,monitor exibe estouro o monitor de trabalho mostra uma tela preta mas o computador esta ligado ja verifiquei as configuracoes e redefiniram a placa mae sem sucesso,Hardware,Baixa
75,problemas no logon de usuario,usuario relata desafios ao iniciar o sistema mas confirma que ja tentou reinicia lo,problemas no logon de usuario usuario relata desafios ao iniciar o sistema mas confirma que ja tentou reinicia lo,Acesso,Baixa
76,problema ao inserir dados,quando tento adicionar novas entradas no banco as operacoes sao interrompidas e o sistema retorna erro de timeout o problema e replicado independentemente do tipo ou volume das informacoes sendo inseridas,problema ao inserir dados quando tento adicionar novas entradas no banco as operacoes sao interrompidas e o sistema retorna erro de timeout o problema e replicado independentemente do tipo ou volume das informacoes sendo inseridas,Banco de Dados,Media
77,sinalizacao mal funcionante,os sinais de transito da vizinhanca estao exibindo codigo indesejado alguns apresentam uma cor diferente e outros tem textos incorretos,sinalizacao mal funcionante os sinais de transito da vizinhanca estao exibindo codigo indesejado alguns apresentam uma cor diferente e outros tem textos incorretos,Infraestrutura,Baixa
78,agua corrente intermitente,em alguns escritorios o sistema de agua e inconstante e nao funciona regularmente o problema esta afetando menos da metade das localizacoes,agua corrente intermitente em alguns escritorios o sistema de agua e inconstante e nao funciona regularmente o problema esta afetando menos da metade das localizacoes,Infraestrutura,Baixa
79,lente do microscopio desfoca,obrigada por entrar precisamos de ajuda estou usando o meu microscopio para observar uma amostra biologica e percebi que a lente esta deixando os objetos pouco claros com detalhes fracos,lente do microscopio desfoca obrigada por entrar precisamos de ajuda estou usando o meu microscopio para observar uma amostra biologica e percebi que a lente esta deixando os objetos pouco claros com detalhes fracos,Hardware,Baixa
80,problemas de autenticacao do usuario,o cliente relata dificuldade no reconhecimento correto das credenciais apos atualizacao da conta com tentativas repetidas falhando,problemas de autenticacao do usuario o cliente relata dificuldade no reconhecimento correto das credenciais apos atualizacao da conta com tentativas repetidas falhando,Acesso,Media
81,recuperacao de senha falhou,cliente relata que tentou o processo de recuperacao de senha por e mail apos ter se esquecido a senha mas nao recebeu nenhuma resposta do sistema,recuperacao de senha falhou cliente relata que tentou o processo de recuperacao de senha por e mail apos ter se esquecido a senha mas nao recebeu nenhuma resposta do sistema,Acesso,Alta
82,dificuldade na conexao,o cliente relata que encontra dificuldades para se conectar a internet apesar de ter configurado corretamente o modem e a rede sem fio acontece apos uma atualizacao do sistema operacional,dificuldade na conexao o cliente relata que encontra dificuldades para se conectar a internet apesar de ter configurado corretamente o modem e a rede sem fio acontece apos uma atualizacao do sistema operacional,Acesso,Media
83,sistema de projeto nao responsivo,funcionario relatou que o sistema utilizado para projetos esta nao respondendo intermitentemente causando atrasos no trabalho ate agora tentaram reiniciar sem sucesso,sistema de projeto nao responsivo funcionario relatou que o sistema utilizado para projetos esta nao respondendo intermitentemente causando atrasos no trabalho ate agora tentaram reiniciar sem sucesso,Acesso,Baixa
84,erro de login no portal,funcionario informa que tentou acessar o portal do trabalho e foi recebido um erro login falhou aconteceu apos uma atualizacao recente das aplicacoes,erro de login no portal funcionario informa que tentou acessar o portal do trabalho e foi recebido um erro login falhou aconteceu apos uma atualizacao recente das aplicacoes,Acesso,Media
85,ajuste do monitor,obrigado pela ligacao parece que o seu monitor pode precisar de um reajuste para obter uma resolucao adequada,ajuste do monitor obrigado pela ligacao parece que o seu monitor pode precisar de um reajuste para obter uma resolucao adequada,Hardware,Baixa
86,computador intermitente,o computador liga mas sai do modo de funcionamento ocasionalmente sem aviso previo este comportamento e recorrente e nao se encaixa em nenhum padrao especifico,computador intermitente o computador liga mas sai do modo de funcionamento ocasionalmente sem aviso previo este comportamento e recorrente e nao se encaixa em nenhum padrao especifico,Hardware,Baixa
87,computador sem energia,o sistema nao responde as tentativas de ligar o que indica um problema potencial no hardware,computador sem energia o sistema nao responde as tentativas de ligar o que indica um problema potencial no hardware,Hardware,Alta
88,problemas de conexao wifi,cliente relata que o seu dispositivo nao consegue se conectar ao sinal wi fi da empresa apos atualizacao recente do roteador,problemas de conexao wifi cliente relata que o seu dispositivo nao consegue se conectar ao sinal wi fi da empresa apos atualizacao recente do roteador,Acesso,Media
89,insuficiente privilegios no login,funcionario tentou acessar o sistema como administrador mas foi informado que seus permissoes nao sao suficientes para esse nivel de acesso,insuficiente privilegios no login funcionario tentou acessar o sistema como administrador mas foi informado que seus permissoes nao sao suficientes para esse nivel de acesso,Acesso,Baixa
90,problemas de conexao vpn,descricao nao fornecida,problemas de conexao vpn descricao nao fornecida,Acesso,Media
91,lcd na tela,a lcd do computador apresenta uma marca vermelha no canto superior direito e nao consegue ser alinhada corretamente,lcd na tela a lcd do computador apresenta uma marca vermelha no canto superior direito e nao consegue ser alinhada corretamente,Hardware,Media
92,dispositivo movel sem carga,meu celular nao esta carregando fui conecta lo na tomada ha uma hora mas nada aconteceu,dispositivo movel sem carga meu celular nao esta carregando fui conecta lo na tomada ha uma hora mas nada aconteceu,Hardware,Media
93,motorola moto g nao responde,o telefone android motorola moto g esta completamente sem sinal apertei o botao power e nada aconteceu nem mesmo um led de energia acendeu,motorola moto g nao responde o telefone android motorola moto g esta completamente sem sinal apertei o botao power e nada aconteceu nem mesmo um led de energia acendeu,Hardware,Media
94,alimentador de energia falhando,o alimentador principal da instalacao esta apresentando intermitencias causando desligamentos periodicos do sistema nao ha impactos imediatos em nenhum equipamento critico,alimentador de energia falhando o alimentador principal da instalacao esta apresentando intermitencias causando desligamentos periodicos do sistema nao ha impactos imediatos em nenhum equipamento critico,Infraestrutura,Baixa
95,insuficiente memoria,funcionario relata que o sistema esta travando ao tentar abrir um documento grande suspeitando de limite de memoria excedido,insuficiente memoria funcionario relata que o sistema esta travando ao tentar abrir um documento grande suspeitando de limite de memoria excedido,Acesso,Baixa
96,recuperacao de senha falhada,o usuario informa que nao consegue acessar o sistema devido a recuperacao do seu e mail para mudanca de senha ter sido incorretamente configurada ele tentou entrar ha algumas horas mas sem sucesso,recuperacao de senha falhada o usuario informa que nao consegue acessar o sistema devido a recuperacao do seu e mail para mudanca de senha ter sido incorretamente configurada ele tentou entrar ha algumas horas mas sem sucesso,Acesso,Baixa
97,problemas de conexao wifi,funcionario relata ter dificuldade na ligacao a rede sem fio no escritorio apesar do sinal aparecer,problemas de conexao wifi funcionario relata ter dificuldade na ligacao a rede sem fio no escritorio apesar do sinal aparecer,Acesso,Baixa
98,banco de dados lento,nos ultimos dias tem havido um aumento no tempo de resposta do banco de dados os usuarios estao reportando atrasos na conclusao das operacoes simples e ate mesmo erros intermitentes ao acessar o sistema,banco de dados lento nos ultimos dias tem havido um aumento no tempo de resposta do banco de dados os usuarios estao reportando atrasos na conclusao das operacoes simples e ate mesmo erros intermitentes ao acessar o sistema,Banco de Dados,Baixa
